mean_off,acc_lenet,acc_retinet
-2.0,0.8075061440467834,0.8250230550765991
-1.8,0.8126152157783508,0.8344729542732239
-1.6,0.8189151883125305,0.8420405387878418
-1.4,0.8250614404678345,0.8491472005844116
-1.2,0.8326290845870972,0.856945276260376
-1.0,0.8386601209640503,0.8630531430244446
-0.8,0.8467655181884766,0.8688153028488159
-0.6,0.8550629615783691,0.873386561870575
-0.4,0.8619007468223572,0.875153660774231
-0.2,0.8665104508399963,0.8774200677871704
0.0,0.8682006597518921,0.8773048520088196
0.2,0.8625921607017517,0.8746158480644226
0.4,0.8272510766983032,0.8622080087661743
0.6,0.6418638229370117,0.841925323009491
0.8,0.3064689636230469,0.8178395628929138
1.0,0.08113091439008713,0.7873770594596863
1.2,0.013099262490868568,0.7519207000732422
1.4,0.005339581985026598,0.7060924768447876
1.6,0.005531653296202421,0.6440534591674805
1.8,0.005646896082907915,0.5654194951057434
2.0,0.0056084818206727505,0.47464656829833984
