mean_off,acc_lenet,acc_bnlenet,acc_inlenet,acc_retinet
-2.0,0.8075061440467834,0.7693223357200623,0.878303587436676,0.8311693072319031
-1.8,0.8125383853912354,0.7827673554420471,0.878303587436676,0.841925323009491
-1.6,0.8189535737037659,0.7977873086929321,0.878303587436676,0.8511447310447693
-1.4,0.8250614404678345,0.8100030422210693,0.878303587436676,0.8595190644264221
-1.2,0.8326674699783325,0.8235248923301697,0.878303587436676,0.8675476312637329
-1.0,0.8386985063552856,0.8373540043830872,0.878303587436676,0.8721957206726074
-0.8,0.8467270731925964,0.8494160771369934,0.878303587436676,0.877535343170166
-0.6,0.8550245761871338,0.8625153303146362,0.878303587436676,0.8816072344779968
-0.4,0.8619007468223572,0.8739243745803833,0.878303587436676,0.884795606136322
-0.2,0.8665104508399963,0.882260262966156,0.878303587436676,0.8874077796936035
0.0,0.8681238293647766,0.8887138962745667,0.878303587436676,0.888598620891571
0.2,0.8626306056976318,0.8892900943756104,0.878303587436676,0.8872541189193726
0.4,0.8272510766983032,0.8859096169471741,0.878303587436676,0.8799170255661011
0.6,0.6418254375457764,0.8753457069396973,0.878303587436676,0.8678549528121948
0.8,0.3065073788166046,0.8594037890434265,0.878303587436676,0.8503764271736145
1.0,0.08113091439008713,0.8338966965675354,0.878303587436676,0.8331668376922607
1.2,0.013060848228633404,0.8013982772827148,0.878303587436676,0.815957248210907
1.4,0.005339581985026598,0.7657882571220398,0.878303587436676,0.7983251214027405
1.6,0.005531653296202421,0.7233405113220215,0.878303587436676,0.7808850407600403
1.8,0.005646896082907915,0.6802781224250793,0.878303587436676,0.759795606136322
2.0,0.0056084818206727505,0.6364858746528625,0.878303587436676,0.7383988499641418
